filepath,emotion
processed_clips\11_clip_0.npz,Proud
processed_clips\11_clip_1.npz,Proud
processed_clips\11_clip_2.npz,Proud
processed_clips\11_clip_3.npz,Proud
processed_clips\11_clip_4.npz,Proud
processed_clips\11_clip_5.npz,Proud
processed_clips\11_clip_6.npz,Proud
processed_clips\11_clip_7.npz,Proud
processed_clips\11_clip_8.npz,Proud
processed_clips\11_clip_9.npz,Proud
processed_clips\11_clip_10.npz,Proud
processed_clips\11_clip_11.npz,Proud
processed_clips\11_clip_12.npz,Proud
processed_clips\11_clip_13.npz,Proud
processed_clips\11_clip_14.npz,Proud
processed_clips\11_clip_15.npz,Proud
processed_clips\11_clip_16.npz,Proud
processed_clips\11_clip_17.npz,Proud
processed_clips\11_clip_18.npz,Proud
processed_clips\11_clip_19.npz,Proud
processed_clips\11_clip_20.npz,Proud
processed_clips\11_clip_21.npz,Proud
processed_clips\11_clip_22.npz,Proud
processed_clips\11_clip_23.npz,Proud
processed_clips\11_clip_24.npz,Proud
processed_clips\11_clip_25.npz,Proud
processed_clips\11_clip_26.npz,Proud
processed_clips\11_clip_27.npz,Proud
processed_clips\11_clip_28.npz,Proud
processed_clips\11_clip_29.npz,Proud
processed_clips\12_clip_0.npz,Trust
processed_clips\12_clip_1.npz,Trust
processed_clips\12_clip_2.npz,Trust
processed_clips\12_clip_3.npz,Trust
processed_clips\12_clip_4.npz,Trust
processed_clips\12_clip_5.npz,Trust
processed_clips\12_clip_6.npz,Trust
processed_clips\12_clip_7.npz,Trust
processed_clips\12_clip_8.npz,Trust
processed_clips\12_clip_9.npz,Trust
processed_clips\12_clip_10.npz,Trust
processed_clips\12_clip_11.npz,Trust
processed_clips\12_clip_12.npz,Trust
processed_clips\12_clip_13.npz,Trust
processed_clips\12_clip_14.npz,Trust
processed_clips\12_clip_15.npz,Trust
processed_clips\12_clip_16.npz,Trust
processed_clips\12_clip_17.npz,Trust
processed_clips\12_clip_18.npz,Trust
processed_clips\12_clip_19.npz,Trust
processed_clips\12_clip_20.npz,Trust
processed_clips\12_clip_21.npz,Trust
processed_clips\12_clip_22.npz,Trust
processed_clips\12_clip_23.npz,Trust
processed_clips\12_clip_24.npz,Trust
processed_clips\12_clip_25.npz,Trust
processed_clips\12_clip_26.npz,Trust
processed_clips\12_clip_27.npz,Trust
processed_clips\12_clip_28.npz,Trust
processed_clips\12_clip_29.npz,Trust
processed_clips\12_clip_30.npz,Trust
processed_clips\12_clip_31.npz,Trust
processed_clips\12_clip_32.npz,Trust
processed_clips\12_clip_33.npz,Trust
processed_clips\12_clip_34.npz,Trust
processed_clips\12_clip_35.npz,Trust
processed_clips\12_clip_36.npz,Trust
processed_clips\12_clip_37.npz,Trust
processed_clips\12_clip_38.npz,Trust
processed_clips\13_clip_0.npz,Trust
processed_clips\13_clip_1.npz,Trust
processed_clips\13_clip_2.npz,Trust
processed_clips\13_clip_3.npz,Trust
processed_clips\13_clip_4.npz,Trust
processed_clips\13_clip_5.npz,Trust
processed_clips\13_clip_6.npz,Trust
processed_clips\13_clip_7.npz,Trust
processed_clips\13_clip_8.npz,Trust
processed_clips\13_clip_9.npz,Trust
processed_clips\13_clip_10.npz,Trust
processed_clips\13_clip_11.npz,Trust
processed_clips\13_clip_12.npz,Trust
processed_clips\13_clip_13.npz,Trust
processed_clips\13_clip_14.npz,Trust
processed_clips\13_clip_15.npz,Trust
processed_clips\13_clip_16.npz,Trust
processed_clips\13_clip_17.npz,Trust
processed_clips\13_clip_18.npz,Trust
processed_clips\13_clip_19.npz,Trust
processed_clips\13_clip_20.npz,Trust
processed_clips\13_clip_21.npz,Trust
processed_clips\13_clip_22.npz,Trust
processed_clips\13_clip_23.npz,Trust
processed_clips\13_clip_24.npz,Trust
processed_clips\13_clip_25.npz,Trust
processed_clips\13_clip_26.npz,Trust
processed_clips\13_clip_27.npz,Trust
processed_clips\13_clip_28.npz,Trust
processed_clips\13_clip_29.npz,Trust
processed_clips\13_clip_30.npz,Trust
processed_clips\13_clip_31.npz,Trust
processed_clips\14_clip_0.npz,Trust
processed_clips\14_clip_1.npz,Trust
processed_clips\14_clip_2.npz,Trust
processed_clips\14_clip_3.npz,Trust
processed_clips\14_clip_4.npz,Trust
processed_clips\14_clip_5.npz,Trust
processed_clips\14_clip_6.npz,Trust
processed_clips\14_clip_7.npz,Trust
processed_clips\14_clip_8.npz,Trust
processed_clips\14_clip_9.npz,Trust
processed_clips\14_clip_10.npz,Trust
processed_clips\14_clip_11.npz,Trust
processed_clips\14_clip_12.npz,Trust
processed_clips\14_clip_13.npz,Trust
processed_clips\14_clip_14.npz,Trust
processed_clips\14_clip_15.npz,Trust
processed_clips\14_clip_16.npz,Trust
processed_clips\14_clip_17.npz,Trust
processed_clips\14_clip_18.npz,Trust
processed_clips\14_clip_19.npz,Trust
processed_clips\14_clip_20.npz,Trust
processed_clips\14_clip_21.npz,Trust
processed_clips\14_clip_22.npz,Trust
processed_clips\14_clip_23.npz,Trust
processed_clips\14_clip_24.npz,Trust
processed_clips\14_clip_25.npz,Trust
processed_clips\14_clip_26.npz,Trust
processed_clips\14_clip_27.npz,Trust
processed_clips\15_clip_0.npz,Surprise
processed_clips\15_clip_1.npz,Surprise
processed_clips\15_clip_2.npz,Surprise
processed_clips\15_clip_3.npz,Surprise
processed_clips\15_clip_4.npz,Surprise
processed_clips\15_clip_5.npz,Surprise
processed_clips\15_clip_6.npz,Surprise
processed_clips\15_clip_7.npz,Surprise
processed_clips\15_clip_8.npz,Surprise
processed_clips\15_clip_9.npz,Surprise
processed_clips\15_clip_10.npz,Surprise
processed_clips\16_clip_0.npz,Surprise
processed_clips\16_clip_1.npz,Surprise
processed_clips\16_clip_2.npz,Surprise
processed_clips\16_clip_3.npz,Surprise
processed_clips\16_clip_4.npz,Surprise
processed_clips\16_clip_5.npz,Surprise
processed_clips\16_clip_6.npz,Surprise
processed_clips\16_clip_7.npz,Surprise
processed_clips\16_clip_8.npz,Surprise
processed_clips\16_clip_9.npz,Surprise
processed_clips\16_clip_10.npz,Surprise
processed_clips\16_clip_11.npz,Surprise
processed_clips\16_clip_12.npz,Surprise
processed_clips\16_clip_13.npz,Surprise
processed_clips\16_clip_14.npz,Surprise
processed_clips\16_clip_15.npz,Surprise
processed_clips\16_clip_16.npz,Surprise
processed_clips\16_clip_17.npz,Surprise
processed_clips\16_clip_18.npz,Surprise
processed_clips\16_clip_19.npz,Surprise
processed_clips\16_clip_20.npz,Surprise
processed_clips\16_clip_21.npz,Surprise
processed_clips\16_clip_22.npz,Surprise
processed_clips\16_clip_23.npz,Surprise
processed_clips\16_clip_24.npz,Surprise
processed_clips\16_clip_25.npz,Surprise
processed_clips\16_clip_26.npz,Surprise
processed_clips\16_clip_27.npz,Surprise
processed_clips\16_clip_28.npz,Surprise
processed_clips\16_clip_29.npz,Surprise
processed_clips\16_clip_30.npz,Surprise
processed_clips\16_clip_31.npz,Surprise
processed_clips\16_clip_32.npz,Surprise
processed_clips\16_clip_33.npz,Surprise
processed_clips\16_clip_34.npz,Surprise
processed_clips\16_clip_35.npz,Surprise
processed_clips\16_clip_36.npz,Surprise
processed_clips\16_clip_37.npz,Surprise
processed_clips\16_clip_38.npz,Surprise
processed_clips\16_clip_39.npz,Surprise
processed_clips\17_clip_0.npz,Surprise
processed_clips\17_clip_1.npz,Surprise
processed_clips\17_clip_2.npz,Surprise
processed_clips\17_clip_3.npz,Surprise
processed_clips\17_clip_4.npz,Surprise
processed_clips\17_clip_5.npz,Surprise
processed_clips\17_clip_6.npz,Surprise
processed_clips\17_clip_7.npz,Surprise
processed_clips\17_clip_8.npz,Surprise
processed_clips\17_clip_9.npz,Surprise
processed_clips\17_clip_10.npz,Surprise
processed_clips\17_clip_11.npz,Surprise
processed_clips\17_clip_12.npz,Surprise
processed_clips\17_clip_13.npz,Surprise
processed_clips\17_clip_14.npz,Surprise
processed_clips\18_clip_0.npz,Sadness
processed_clips\18_clip_1.npz,Sadness
processed_clips\18_clip_2.npz,Sadness
processed_clips\18_clip_3.npz,Sadness
processed_clips\18_clip_4.npz,Sadness
processed_clips\18_clip_5.npz,Sadness
processed_clips\18_clip_6.npz,Sadness
processed_clips\18_clip_7.npz,Sadness
processed_clips\18_clip_8.npz,Sadness
processed_clips\18_clip_9.npz,Sadness
processed_clips\18_clip_10.npz,Sadness
processed_clips\18_clip_11.npz,Sadness
processed_clips\18_clip_12.npz,Sadness
processed_clips\18_clip_13.npz,Sadness
processed_clips\18_clip_14.npz,Sadness
processed_clips\18_clip_15.npz,Sadness
processed_clips\18_clip_16.npz,Sadness
processed_clips\18_clip_17.npz,Sadness
processed_clips\18_clip_18.npz,Sadness
processed_clips\18_clip_19.npz,Sadness
processed_clips\18_clip_20.npz,Sadness
processed_clips\18_clip_21.npz,Sadness
processed_clips\19_clip_0.npz,Trust
processed_clips\19_clip_1.npz,Trust
processed_clips\19_clip_2.npz,Trust
processed_clips\19_clip_3.npz,Trust
processed_clips\19_clip_4.npz,Trust
processed_clips\19_clip_5.npz,Trust
processed_clips\19_clip_6.npz,Trust
processed_clips\19_clip_7.npz,Trust
processed_clips\19_clip_8.npz,Trust
processed_clips\19_clip_9.npz,Trust
processed_clips\19_clip_10.npz,Trust
processed_clips\19_clip_11.npz,Trust
processed_clips\19_clip_12.npz,Trust
processed_clips\19_clip_13.npz,Trust
processed_clips\19_clip_14.npz,Trust
processed_clips\19_clip_15.npz,Trust
processed_clips\19_clip_16.npz,Trust
processed_clips\19_clip_17.npz,Trust
processed_clips\20_clip_0.npz,Surprise
processed_clips\20_clip_1.npz,Surprise
processed_clips\20_clip_2.npz,Surprise
processed_clips\20_clip_3.npz,Surprise
processed_clips\20_clip_4.npz,Surprise
processed_clips\20_clip_5.npz,Surprise
processed_clips\20_clip_6.npz,Surprise
processed_clips\20_clip_7.npz,Surprise
processed_clips\20_clip_8.npz,Surprise
processed_clips\20_clip_9.npz,Surprise
processed_clips\20_clip_10.npz,Surprise
processed_clips\20_clip_11.npz,Surprise
processed_clips\20_clip_12.npz,Surprise
processed_clips\20_clip_13.npz,Surprise
processed_clips\20_clip_14.npz,Surprise
processed_clips\20_clip_15.npz,Surprise
processed_clips\20_clip_16.npz,Surprise
processed_clips\20_clip_17.npz,Surprise
processed_clips\20_clip_18.npz,Surprise
processed_clips\20_clip_19.npz,Surprise
processed_clips\20_clip_20.npz,Surprise
processed_clips\20_clip_21.npz,Surprise
processed_clips\20_clip_22.npz,Surprise
processed_clips\20_clip_23.npz,Surprise
processed_clips\20_clip_24.npz,Surprise
processed_clips\20_clip_25.npz,Surprise
processed_clips\20_clip_26.npz,Surprise
processed_clips\20_clip_27.npz,Surprise
processed_clips\20_clip_28.npz,Surprise
processed_clips\20_clip_29.npz,Surprise
processed_clips\20_clip_30.npz,Surprise
processed_clips\20_clip_31.npz,Surprise
processed_clips\20_clip_32.npz,Surprise
processed_clips\20_clip_33.npz,Surprise
processed_clips\20_clip_34.npz,Surprise
processed_clips\21_clip_0.npz,Surprise
processed_clips\21_clip_1.npz,Surprise
processed_clips\21_clip_2.npz,Surprise
processed_clips\21_clip_3.npz,Surprise
processed_clips\21_clip_4.npz,Surprise
processed_clips\21_clip_5.npz,Surprise
processed_clips\21_clip_6.npz,Surprise
processed_clips\21_clip_7.npz,Surprise
processed_clips\21_clip_8.npz,Surprise
processed_clips\21_clip_9.npz,Surprise
processed_clips\21_clip_10.npz,Surprise
processed_clips\21_clip_11.npz,Surprise
processed_clips\21_clip_12.npz,Surprise
processed_clips\21_clip_13.npz,Surprise
processed_clips\21_clip_14.npz,Surprise
processed_clips\21_clip_15.npz,Surprise
processed_clips\21_clip_16.npz,Surprise
processed_clips\21_clip_17.npz,Surprise
processed_clips\21_clip_18.npz,Surprise
processed_clips\21_clip_19.npz,Surprise
processed_clips\21_clip_20.npz,Surprise
processed_clips\21_clip_21.npz,Surprise
processed_clips\21_clip_22.npz,Surprise
processed_clips\21_clip_23.npz,Surprise
processed_clips\21_clip_24.npz,Surprise
processed_clips\21_clip_25.npz,Surprise
processed_clips\21_clip_26.npz,Surprise
processed_clips\22_clip_0.npz,Surprise
processed_clips\22_clip_1.npz,Surprise
processed_clips\22_clip_2.npz,Surprise
processed_clips\22_clip_3.npz,Surprise
processed_clips\22_clip_4.npz,Surprise
processed_clips\22_clip_5.npz,Surprise
processed_clips\22_clip_6.npz,Surprise
processed_clips\23_clip_0.npz,Surprise
processed_clips\23_clip_1.npz,Surprise
processed_clips\23_clip_2.npz,Surprise
processed_clips\23_clip_3.npz,Surprise
processed_clips\23_clip_4.npz,Surprise
processed_clips\23_clip_5.npz,Surprise
processed_clips\23_clip_6.npz,Surprise
processed_clips\23_clip_7.npz,Surprise
processed_clips\23_clip_8.npz,Surprise
processed_clips\23_clip_9.npz,Surprise
processed_clips\23_clip_10.npz,Surprise
processed_clips\23_clip_11.npz,Surprise
processed_clips\23_clip_12.npz,Surprise
processed_clips\23_clip_13.npz,Surprise
processed_clips\23_clip_14.npz,Surprise
processed_clips\23_clip_15.npz,Surprise
processed_clips\23_clip_16.npz,Surprise
processed_clips\23_clip_17.npz,Surprise
processed_clips\23_clip_18.npz,Surprise
processed_clips\23_clip_19.npz,Surprise
processed_clips\23_clip_20.npz,Surprise
processed_clips\23_clip_21.npz,Surprise
processed_clips\23_clip_22.npz,Surprise
processed_clips\23_clip_23.npz,Surprise
processed_clips\23_clip_24.npz,Surprise
processed_clips\23_clip_25.npz,Surprise
processed_clips\23_clip_26.npz,Surprise
processed_clips\24_clip_0.npz,Surprise
processed_clips\24_clip_1.npz,Surprise
processed_clips\24_clip_2.npz,Surprise
processed_clips\24_clip_3.npz,Surprise
processed_clips\24_clip_4.npz,Surprise
processed_clips\24_clip_5.npz,Surprise
processed_clips\24_clip_6.npz,Surprise
processed_clips\24_clip_7.npz,Surprise
processed_clips\24_clip_8.npz,Surprise
processed_clips\24_clip_9.npz,Surprise
processed_clips\24_clip_10.npz,Surprise
processed_clips\24_clip_11.npz,Surprise
processed_clips\24_clip_12.npz,Surprise
processed_clips\24_clip_13.npz,Surprise
processed_clips\24_clip_14.npz,Surprise
processed_clips\24_clip_15.npz,Surprise
processed_clips\24_clip_16.npz,Surprise
processed_clips\24_clip_17.npz,Surprise
processed_clips\24_clip_18.npz,Surprise
processed_clips\25_clip_0.npz,Surprise
processed_clips\25_clip_1.npz,Surprise
processed_clips\25_clip_2.npz,Surprise
processed_clips\25_clip_3.npz,Surprise
processed_clips\25_clip_4.npz,Surprise
processed_clips\25_clip_5.npz,Surprise
processed_clips\25_clip_6.npz,Surprise
processed_clips\25_clip_7.npz,Surprise
processed_clips\25_clip_8.npz,Surprise
processed_clips\25_clip_9.npz,Surprise
processed_clips\25_clip_10.npz,Surprise
processed_clips\25_clip_11.npz,Surprise
processed_clips\25_clip_12.npz,Surprise
processed_clips\25_clip_13.npz,Surprise
processed_clips\26_clip_0.npz,Surprise
processed_clips\26_clip_1.npz,Surprise
processed_clips\26_clip_2.npz,Surprise
processed_clips\26_clip_3.npz,Surprise
processed_clips\26_clip_4.npz,Surprise
processed_clips\26_clip_5.npz,Surprise
processed_clips\26_clip_6.npz,Surprise
processed_clips\26_clip_7.npz,Surprise
processed_clips\26_clip_8.npz,Surprise
processed_clips\26_clip_9.npz,Surprise
processed_clips\26_clip_10.npz,Surprise
processed_clips\26_clip_11.npz,Surprise
processed_clips\26_clip_12.npz,Surprise
processed_clips\26_clip_13.npz,Surprise
processed_clips\26_clip_14.npz,Surprise
processed_clips\26_clip_15.npz,Surprise
processed_clips\26_clip_16.npz,Surprise
processed_clips\26_clip_17.npz,Surprise
processed_clips\26_clip_18.npz,Surprise
processed_clips\26_clip_19.npz,Surprise
processed_clips\26_clip_20.npz,Surprise
processed_clips\26_clip_21.npz,Surprise
processed_clips\26_clip_22.npz,Surprise
processed_clips\26_clip_23.npz,Surprise
processed_clips\26_clip_24.npz,Surprise
processed_clips\26_clip_25.npz,Surprise
processed_clips\26_clip_26.npz,Surprise
processed_clips\26_clip_27.npz,Surprise
processed_clips\26_clip_28.npz,Surprise
processed_clips\26_clip_29.npz,Surprise
processed_clips\26_clip_30.npz,Surprise
processed_clips\26_clip_31.npz,Surprise
processed_clips\26_clip_32.npz,Surprise
processed_clips\27_clip_0.npz,Surprise
processed_clips\27_clip_1.npz,Surprise
processed_clips\27_clip_2.npz,Surprise
processed_clips\27_clip_3.npz,Surprise
processed_clips\27_clip_4.npz,Surprise
processed_clips\27_clip_5.npz,Surprise
processed_clips\27_clip_6.npz,Surprise
processed_clips\28_clip_0.npz,Surprise
processed_clips\28_clip_1.npz,Surprise
processed_clips\28_clip_2.npz,Surprise
processed_clips\28_clip_3.npz,Surprise
processed_clips\28_clip_4.npz,Surprise
processed_clips\28_clip_5.npz,Surprise
processed_clips\28_clip_6.npz,Surprise
processed_clips\28_clip_7.npz,Surprise
processed_clips\28_clip_8.npz,Surprise
processed_clips\28_clip_9.npz,Surprise
processed_clips\28_clip_10.npz,Surprise
processed_clips\28_clip_11.npz,Surprise
processed_clips\28_clip_12.npz,Surprise
processed_clips\28_clip_13.npz,Surprise
processed_clips\28_clip_14.npz,Surprise
processed_clips\28_clip_15.npz,Surprise
processed_clips\28_clip_16.npz,Surprise
processed_clips\28_clip_17.npz,Surprise
processed_clips\28_clip_18.npz,Surprise
processed_clips\28_clip_19.npz,Surprise
processed_clips\28_clip_20.npz,Surprise
processed_clips\28_clip_21.npz,Surprise
processed_clips\28_clip_22.npz,Surprise
processed_clips\28_clip_23.npz,Surprise
processed_clips\28_clip_24.npz,Surprise
processed_clips\28_clip_25.npz,Surprise
processed_clips\28_clip_26.npz,Surprise
processed_clips\28_clip_27.npz,Surprise
processed_clips\28_clip_28.npz,Surprise
processed_clips\28_clip_29.npz,Surprise
processed_clips\28_clip_30.npz,Surprise
processed_clips\28_clip_31.npz,Surprise
processed_clips\28_clip_32.npz,Surprise
processed_clips\28_clip_33.npz,Surprise
processed_clips\28_clip_34.npz,Surprise
processed_clips\28_clip_35.npz,Surprise
processed_clips\28_clip_36.npz,Surprise
processed_clips\28_clip_37.npz,Surprise
